load name,TTM pct
Load.tyn202_w_8_103_abc53884-1_0,0.545431116
Load.tyn202_53900elb-1_2,0.504660443
Load.tyn202_w_8_101_abc53820-1_2,0.513980248
Load.tyn202_w_8_109_abc53818-1_0,0.166661554
Load.tyn202_w_8_494_abc1163166-1_1,0.027846615
Load.tyn202_w_8_494_abc1163166-1_3,0.508964793
Load.tyn202_w_8_494_abc1163166-1_5,0.168133996
Load.tyn202_w_8_494_abc1163166-1_7,0.957224385
Load.tyn202_w_8_494_abc1163166-1_9,0.435157823
Load.tyn202_w_8_434_abc69899-1_2,0.638378235
Load.tyn202_w_8_250_abc69892-1_11,0.171068069
Load.tyn202_w_8_250_abc69892-1_2,0.28503552
Load.tyn202_w_8_250_abc69892-1_5,0.383490714
Load.tyn202_w_8_250_abc69892-1_8,0.604028204
Load.tyn202_w_8_249_abc69891-1_0,0.829429244
Load.tyn202_w_8_249_abc69891-1_1,0.636213991
Load.tyn202_w_8_249_abc69891-1_2,0.039115097
Load.tyn202_w_8_270_abc1151753-1_2,0.170162979
Load.tyn202_w_8_112_c53807-1_0,0.785103465
Load.tyn202_w_8_112_c53807-1_1,0.343738827
Load.tyn202_w_8_112_c53807-1_2,0.095786311
Load.tyn202_w_8_112_c53807-1_3,0.12225924
Load.tyn202_w_8_379_c53808-1_0,0.06041759
Load.tyn202_w_8_379_c53808-1_1,0.433174649
Load.tyn202_w_8_431_c1149757-1_0,0.762511944
Load.tyn202_w_8_431_c1149757-1_1,0.874569886
Load.tyn202_w_8_431_c1149757-1_2,0.817548356
Load.tyn202_w_8_431_c1149757-1_3,0.941026647
Load.tyn202_w_8_115_c85915-1_0,0.245431874
Load.tyn202_w_8_115_c85915-1_1,0.702988865
Load.tyn202_w_8_201_c1143216-1_0,0.918684347
Load.tyn202_w_8_201_c1143216-1_1,0.870448278
Load.tyn202_w_8_116_c85916-1_0,0.812926888
Load.tyn202_w_8_116_c85916-1_1,0.667598104
Load.tyn202_w_8_116_c85916-1_2,0.51078915
Load.tyn202_1147961elb-1_2,0.144686574
